date,FXMUSDCAD
1/1/2017,1.3193
2/1/2017,1.3107
3/1/2017,1.3386
4/1/2017,1.344
5/1/2017,1.3607
6/1/2017,1.3298
7/1/2017,1.2689
8/1/2017,1.2605
9/1/2017,1.2283
10/1/2017,1.2605
11/1/2017,1.2769
12/1/2017,1.2771
1/1/2018,1.2427
2/1/2018,1.2586
3/1/2018,1.2932
4/1/2018,1.2733
5/1/2018,1.2873
6/1/2018,1.3129
7/1/2018,1.313
8/1/2018,1.3041
9/1/2018,1.3037
10/1/2018,1.301
11/1/2018,1.32
12/1/2018,1.3432
1/1/2019,1.3301
2/1/2019,1.3206
3/1/2019,1.3368
4/1/2019,1.3378
5/1/2019,1.3459
6/1/2019,1.3287
7/1/2019,1.3101
8/1/2019,1.3277
9/1/2019,1.3241
10/1/2019,1.319
11/1/2019,1.3239
12/1/2019,1.3172
1/1/2020,1.3087
2/1/2020,1.3286
3/1/2020,1.3953
4/1/2020,1.4058
5/1/2020,1.397
6/1/2020,1.355
7/1/2020,1.3499
8/1/2020,1.3222
9/1/2020,1.3228
10/1/2020,1.3215
11/1/2020,1.3068
12/1/2020,1.2808
1/1/2021,1.2724
2/1/2021,1.2699
3/1/2021,1.2574
4/1/2021,1.2496
5/1/2021,1.2126
6/1/2021,1.2219
7/1/2021,1.2529
8/1/2021,1.2603
9/1/2021,1.2671
10/1/2021,1.2437
11/1/2021,1.257
12/1/2021,1.2794
1/1/2022,1.2616
2/1/2022,1.2716
3/1/2022,1.2658
4/1/2022,1.2628
5/1/2022,1.2852
6/1/2022,1.2814
7/1/2022,1.2942
8/1/2022,1.2922
9/1/2022,1.3319
10/1/2022,1.37
11/1/2022,1.3449
12/1/2022,1.3592
1/1/2023,1.3422
2/1/2023,1.345
3/1/2023,1.3682
4/1/2023,1.3485
5/1/2023,1.352
6/1/2023,1.3288
7/1/2023,1.3215
8/1/2023,1.3485
9/1/2023,1.3535
10/1/2023,1.3717
